2025-12-17 20:42:03 - INFO - Loading data.
2025-12-17 22:40:50 - INFO - Loading data.
2025-12-18 01:04:53 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 01:05:00 - INFO - Building chart with motif: Count per year, series: Pub/Priv, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 01:05:08 - INFO - Building chart with motif: Count per year, series: Exam, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'Profiss'}
2025-12-18 01:05:28 - INFO - Building chart with motif: Count per year, series: Exam, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 01:06:39 - INFO - Building chart with motif: Count per year, series: Exam, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 01:06:55 - INFO - Building chart with motif: Count per year, series: Exam, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 01:07:05 - INFO - Building chart with motif: Count per year, series: Exam, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 01:07:13 - INFO - Building chart with motif: Count per year, series: Exam, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 01:09:00 - INFO - Building chart with motif: Count per year, series: Exam, normalize: True, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
2025-12-18 01:09:19 - INFO - Building chart with motif: Count per year, series: Exam, normalize: False, filters: {'Covid': 'All', 'ano': 'All', 'Sexo': 'All', 'PubPriv': 'All', 'DescrNuts2': 'All', 'DescrExameAbrev': 'All', 'DescrSubtipoCurso': 'All'}
